State,Number_of_Billionaires,Population
Arizona,12,7151502
Arkansas,5,3011524
California,186,39538223
Colorado,12,5773714
Connecticut,14,3605944
Florida,78,21538187
Georgia,18,10711908
Hawaii,2,1455271
Idaho,1,1839106
Illinois,25,12812508
Indiana,3,6785528
Iowa,1,3190369
Kansas,2,2937880
Kentucky,1,4505836
Louisiana,1,4657757
Maine,1,1362359
Maryland,11,6177224
Massachusetts,24,7029917
Michigan,9,10077331
Minnesota,5,5706494
Mississippi,2,2961279
Missouri,7,6154913
Montana,4,1084225
Nebraska,3,1961504
Nevada,16,3104614
New Jersey,6,9288994
New York,135,20201249
North Carolina,5,10439388
Ohio,7,11799448
Oklahoma,6,3959353
Oregon,3,4237256
Pennsylvania,17,13002700
Rhode Island,1,1097379
South Carolina,1,5118425
South Dakota,1,886667
Tennessee,11,6910840
Texas,67,29145505
Utah,6,3271616
Virginia,9,8631393
Washington,16,7705281
Wisconsin,8,5893718
Wyoming,6,576851
