WorkIndustry,Title,TitleCount,TitlePercentage
Automotive,Chief Executive Officer,8,0.53
Automotive,Founder,7,0.47
Construction and Engineering,Chairman,2,0.29
Construction and Engineering,Chief Executive Officer,4,0.57
Construction and Engineering,Entrepreneur,1,0.14
Diversified,Chief Executive Officer,14,0.583333333
Diversified,Chairman,10,0.416666667
Energy,Chairman,19,0.27
Energy,Chief Executive Officer,24,0.34
Energy,Entrepreneur,13,0.18
Energy,Founder,10,0.14
Energy,Investor,5,0.07
Fashion and Retail,Chairman,13,0.21
Fashion and Retail,Chief Executive Officer,22,0.36
Fashion and Retail,Cofounder,9,0.15
Fashion and Retail,Director,7,0.11
Fashion and Retail,Entrepreneur,5,0.08
Fashion and Retail,Founder,5,0.08
Finance and Investments,Chairman,8,0.14
Finance and Investments,Chief Executive Officer,18,0.32
Finance and Investments,Entrepreneur,6,0.11
Finance and Investments,Founder,11,0.2
Finance and Investments,Investor,13,0.23
Food and Beverage,Chairman,18,0.24
Food and Beverage,Chief Executive Officer,25,0.33
Food and Beverage,Cochairman,15,0.2
Food and Beverage,Entrepreneur,10,0.13
Food and Beverage,Investor,8,0.11
Gambling and Casinos,Board Member,1,0.14
Gambling and Casinos,Chief Executive Officer,4,0.57
Gambling and Casinos,Cofounder,2,0.29
Healthcare,Chief Executive Officer,15,0.75
Healthcare,Founder,5,0.25
Logistics,Chief Executive Officer,4,0.8
Logistics,Chairman,1,0.2
Manufacturing,Chairman,12,0.266666667
Manufacturing,Chief Executive Officer,18,0.4
Manufacturing,Entrepreneur,10,0.222222222
Manufacturing,Investor,5,0.111111111
Media and Entertainment,Chairman,7,0.22
Media and Entertainment,Chief Executive Officer,12,0.38
Media and Entertainment,Cofounder,5,0.16
Media and Entertainment,Director,5,0.16
Media and Entertainment,Founder,3,0.09
Metals and Mining,Chief Executive Officer,2,0.666666667
Metals and Mining,Chairman,1,0.333333333
Real Estate,Chairman,13,0.2
Real Estate,Chief Executive Officer,20,0.31
Real Estate,Entrepreneur,11,0.17
Real Estate,Founder,8,0.12
Real Estate,Investor,8,0.12
Real Estate,President,5,0.08
Service,Chairman,5,0.25
Service,Chief Executive Officer,15,0.75
Sports,Athlete,2,0.055555556
Sports,Chairman,9,0.25
Sports,Chief Executive Officer,15,0.416666667
Sports,Cochairman,5,0.138888889
Sports,President,5,0.138888889
Technology,Chairman,8,0.09
Technology,Chief Executive Officer,30,0.34
Technology,Cofounder,20,0.22
Technology,Entrepreneur,16,0.18
Technology,Founder,5,0.06
Technology,Investor,10,0.11
Telecom,Chief Executive Officer,3,0.75
Telecom,Chairman,1,0.25
